,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Mokhotlong,0,LS,1595793431,70,-29.29,29.07,36.32,5.06
377,Sechura,95,PE,1595793120,52,-5.56,-80.82,75.92,13.62
378,Yokadouma,97,CM,1595793432,94,3.52,15.05,68.22,0.96
379,Kulpahār,55,IN,1595793432,48,25.32,79.65,90.05,8.01
380,Samarai,88,PG,1595793433,87,-10.62,150.67,78.6,7.2
381,Lomas de Sargentillo,75,EC,1595793433,65,-1.88,-80.08,80.6,3.36
382,Hong Kong,20,HK,1595792913,74,22.29,114.16,86.0,10.29
383,College,75,US,1595793434,72,64.86,-147.8,64.0,5.82
384,Aykhal,64,RU,1595793299,87,66.0,111.5,35.96,8.32
385,Porto Velho,0,BR,1595793434,46,-8.76,-63.9,89.6,5.82
386,Taoudenni,8,ML,1595793425,10,22.68,-3.98,105.37,10.74
387,Constantine,0,DZ,1595793209,30,36.37,6.61,86.0,4.7
388,Basoko,83,CD,1595793195,93,1.24,23.62,70.65,4.29
389,Zhangye,99,CN,1595793122,21,38.93,100.45,73.65,5.14
390,Batesville,1,US,1595793395,49,35.77,-91.64,91.4,10.29
391,Okříšky,71,CZ,1595793436,74,49.25,15.77,64.99,4.61
392,Shingū,100,JP,1595793436,93,33.73,135.98,73.6,3.29
393,Harrison,90,US,1595793436,94,30.41,-89.04,73.99,4.7
394,Srednekolymsk,68,RU,1595793141,56,67.45,153.68,73.62,19.46
395,Arman',24,RU,1595793436,77,59.7,150.17,56.66,2.73
396,Mto wa Mbu,0,TZ,1595793437,59,-3.35,35.85,65.55,3.42
397,Batagay,69,RU,1595793160,52,67.63,134.63,62.11,12.17
398,Rawson,90,AR,1595793284,75,-43.3,-65.1,44.6,3.36
399,Salina Cruz,100,MX,1595793437,60,16.17,-95.2,88.12,10.58
400,Sobolevo,100,RU,1595793282,90,54.43,31.9,63.48,3.4
401,Orikum,100,AL,1595793438,72,40.33,19.47,72.32,11.36
402,Tamiahua,99,MX,1595793438,66,21.27,-97.45,89.17,16.6
403,Manta,75,EC,1595793438,78,-0.95,-80.73,75.2,6.93
404,Tandaltī,36,SD,1595793438,60,13.02,31.87,84.02,16.87
405,Maceió,40,BR,1595793156,65,-9.67,-35.74,80.6,12.75
406,Taungdwingyi,100,MM,1595793439,80,20.02,95.55,78.82,5.75
407,Evensk,0,RU,1595793155,83,61.95,159.23,54.63,8.77
408,Chul'man,93,RU,1595792869,93,56.85,124.91,58.32,3.89
409,Ponta Delgada,40,PT,1595793439,78,37.73,-25.67,73.4,10.29
410,Jala,100,MX,1595793440,66,21.08,-104.43,79.0,5.26
411,Hokitika,0,NZ,1595793268,76,-42.72,170.97,43.11,5.3
412,Iquitos,75,PE,1595793440,74,-3.75,-73.25,82.4,5.82
413,Rocha,100,UY,1595793090,81,-34.48,-54.33,52.0,7.83
414,Montepuez,92,MZ,1595793440,75,-13.13,39.0,65.93,7.0
415,Atar,0,MR,1595793155,26,20.52,-13.05,96.78,15.46
416,Oakdale,75,US,1595793441,69,44.96,-92.96,84.99,8.05
417,Kamakwie,99,SL,1595793441,97,9.5,-12.23,71.47,4.88
418,Otane,0,NZ,1595793441,88,-39.88,176.63,37.2,1.66
419,Xining,13,CN,1595793441,55,36.62,101.77,56.32,4.34
420,Antofagasta,20,CL,1595793442,67,-23.65,-70.4,59.0,10.29
421,Nur-Sultan,75,KZ,1595793442,87,51.18,71.45,57.2,6.71
422,Gizo Government Station,99,SB,1595793127,79,-8.1,156.84,80.67,7.9
423,Oruzgan,0,AF,1595793442,24,32.83,66.0,68.72,2.08
424,El Tarra,89,CO,1595793442,46,8.58,-73.09,90.48,4.07
425,Nawalgarh,7,IN,1595793443,51,27.85,75.27,88.45,6.33
426,Mandalgovi,0,MN,1595793443,81,45.76,106.27,61.05,10.36
427,Dillon,40,US,1595793443,52,34.42,-79.37,91.99,4.7
428,San Cristobal,20,VE,1595793090,46,7.77,-72.22,91.4,4.7
429,Asău,100,RO,1595793139,82,46.43,26.4,63.0,3.58
430,Aksu,98,CN,1595793173,25,41.12,80.26,84.16,11.21
431,Kuala Lipis,82,MY,1595793444,94,4.18,102.05,73.27,0.2
432,Kaa-Khem,88,RU,1595793444,72,51.68,94.73,59.61,4.65
433,Machalí,90,CL,1595793444,53,-34.18,-70.67,51.8,3.36
434,Katobu,66,ID,1595793445,89,-4.94,122.53,72.52,4.0
435,Verkhnevilyuysk,94,RU,1595793445,94,63.45,120.32,50.86,1.63
436,Bījār,14,IR,1595793445,22,35.87,47.61,70.39,5.95
437,Mitzic,98,GA,1595793445,95,0.78,11.55,68.9,3.65
438,Dinard,75,FR,1595793446,82,48.63,-2.06,64.0,3.36
439,Zelenoborskiy,49,RU,1595793446,89,66.84,32.36,56.59,5.99
440,Lakes Entrance,100,AU,1595793446,97,-37.88,147.98,51.01,9.48
441,Wattegama,100,LK,1595793446,91,6.8,81.48,74.52,5.37
442,Marrakesh,40,MA,1595793447,26,31.63,-8.01,95.0,5.82
443,Kribi,98,CM,1595793447,90,2.95,9.92,75.88,8.7
444,Ejigbo,100,NG,1595793447,96,7.9,4.32,71.6,6.02
445,Portland,1,US,1595792866,37,45.52,-122.68,93.0,6.93
446,Fukuechō,100,JP,1595793448,87,32.69,128.84,79.38,11.54
447,Jining,83,CN,1595793448,88,35.41,116.58,70.14,2.42
448,Hailar,0,CN,1595793448,62,49.2,119.7,65.7,4.09
449,Kyaikkami,100,MM,1595793448,84,16.08,97.57,81.66,8.68
450,Eureka,90,US,1595793172,77,40.8,-124.16,61.0,5.82
451,High Level,20,CA,1595793449,36,58.52,-117.14,75.2,5.82
452,Usogorsk,2,RU,1595793449,61,63.41,48.69,61.27,2.24
453,Teguise,20,ES,1595793449,69,29.06,-13.56,75.2,19.46
454,Steinbach am Taunus,64,DE,1595793449,46,50.17,8.57,71.01,6.93
455,Grand Gaube,100,MU,1595792883,71,-20.01,57.66,70.0,7.0
456,Kenora,5,CA,1595793450,38,49.82,-94.43,77.0,12.75
457,Nizhniy Odes,51,RU,1595793450,62,63.64,54.86,63.1,2.73
458,Los Llanos de Aridane,20,ES,1595793149,73,28.66,-17.92,73.4,16.11
459,Ust-Kuyga,94,RU,1595793450,77,70.02,135.6,49.42,6.33
460,Sinnamary,17,GF,1595793451,78,5.38,-52.95,82.18,8.75
461,Buala,99,SB,1595793134,84,-8.14,159.59,79.81,9.64
462,Nanganga,72,TZ,1595793451,81,-10.38,39.15,67.6,4.12
463,Alofi,58,NU,1595792877,94,-19.06,-169.92,71.6,10.29
464,Zhigalovo,100,RU,1595793451,88,54.81,105.16,59.86,1.97
465,Guerrero Negro,0,MX,1595793094,49,27.98,-114.06,80.11,15.77
466,Fortuna,40,US,1595793452,77,40.6,-124.16,64.4,12.75
467,Vallenar,0,CL,1595793452,14,-28.57,-70.76,80.82,4.9
468,Pierre,1,US,1595793452,26,44.37,-100.35,84.2,10.29
469,Kutum,77,SD,1595793452,57,14.2,24.67,78.4,23.85
470,Patos,100,BR,1595793453,43,-7.02,-37.28,84.81,16.84
471,Tabuk,73,PH,1595793453,85,17.42,121.44,74.52,1.63
472,Alugan,22,PH,1595793453,87,12.22,125.48,78.51,3.27
473,Tromsø,11,NO,1595792920,52,69.65,18.96,64.4,29.97
474,Bukama,57,CD,1595793454,36,-9.2,25.85,67.21,1.72
475,Yermakovskoye,49,RU,1595793454,89,53.28,92.4,58.64,5.21
476,Naze,90,JP,1595793043,83,28.37,129.48,82.4,9.17
477,Bol,78,TD,1595793454,80,13.46,14.71,80.26,21.25
478,Ryōtsu-minato,70,JP,1595793455,100,38.08,138.43,71.6,1.12
479,Auki,85,SB,1595793455,87,-8.77,160.7,77.43,3.42
480,Deputatsky,17,RU,1595793161,80,69.3,139.9,54.57,4.65
481,Sørland,79,NO,1595793455,46,67.67,12.69,69.8,8.05
482,Sovetskiy,61,RU,1595793455,83,61.36,63.58,57.43,5.7
483,Shouguang,44,CN,1595793456,91,36.88,118.74,68.54,3.33
484,Richards Bay,28,ZA,1595793186,74,-28.78,32.04,65.07,9.17
485,Wanning,25,CN,1595793155,86,18.8,110.4,81.25,10.83
486,Glencoe,0,ZA,1595793456,57,-28.18,30.15,44.26,3.47
487,Gushikawa,90,JP,1595793192,83,26.35,127.87,80.6,6.93
488,Batemans Bay,100,AU,1595793457,97,-35.72,150.18,57.99,5.01
489,Kediri,11,ID,1595793439,85,-7.82,112.02,70.45,9.64
490,Sept-Îles,75,CA,1595793124,60,50.2,-66.38,71.6,9.17
491,Ukiah,1,US,1595793457,30,39.15,-123.21,93.99,4.7
492,Mazamari,43,PE,1595793457,51,-11.33,-74.53,82.87,1.21
493,Black Diamond,0,US,1595793458,56,47.31,-122.0,81.0,6.13
494,Vardø,96,NO,1595793097,87,70.37,31.11,55.4,16.11
495,Yulara,0,AU,1595793142,64,-25.24,130.99,39.2,7.54
496,Kodinsk,81,RU,1595793175,94,58.69,99.18,54.3,3.02
497,Nyrob,35,RU,1595793459,67,60.73,56.72,58.51,0.98
498,Fergus Falls,1,US,1595793459,50,46.28,-96.08,77.0,16.11
499,Bone,100,DE,1595793459,95,51.97,12.14,64.99,5.21
500,St. George's,20,GD,1595793459,66,12.06,-61.75,87.8,17.22
501,Khasan,100,RU,1595793169,97,42.43,130.64,65.14,6.29
502,Merauke,100,ID,1595793173,83,-8.47,140.33,77.36,16.13
503,‘Ewa Beach,75,US,1595793460,69,21.32,-158.01,82.4,10.29
504,Cabiguan,17,PH,1595793460,87,12.91,123.73,78.76,3.4
505,Suntar,100,RU,1595793460,94,62.14,117.63,53.13,1.03
506,Kalemie,32,CD,1595793460,61,-5.95,29.19,67.86,3.13
507,Santiago de Cao,13,PE,1595793461,75,-7.96,-79.24,64.22,13.27
508,Athens,0,GR,1595793301,61,37.98,23.72,82.0,1.66
509,Ubari,0,LY,1595793461,15,26.59,12.78,84.49,5.59
510,Ust'-Tarka,0,RU,1595793461,89,55.57,75.7,52.23,4.7
511,Dovers,40,VC,1595793461,70,12.88,-61.18,86.0,10.29
512,Russell,75,US,1595793169,78,32.35,-85.2,90.0,5.82
513,Terney,0,RU,1595793462,80,45.05,136.61,59.2,3.76
514,Malbork,100,PL,1595793462,100,54.04,19.03,64.99,7.47
515,Poso,75,ID,1595793463,67,-1.4,120.75,77.88,6.76
516,Nhulunbuy,40,AU,1595793263,57,-12.23,136.77,75.2,12.75
517,Armidale,100,AU,1595793463,79,-30.52,151.65,43.0,8.01
518,Ambilobe,100,MG,1595793464,80,-13.2,49.05,68.38,2.1
519,Dhārchula,97,IN,1595793464,76,29.85,80.53,69.87,0.65
520,Guarapari,75,BR,1595793464,78,-20.67,-40.5,78.01,6.93
521,Ishim,0,RU,1595793464,78,56.11,69.49,51.31,4.56
522,Santa Cruz de La Palma,20,ES,1595793465,73,28.68,-17.76,73.4,16.11
523,Takoradze,83,GH,1595793465,83,4.88,-1.76,75.25,10.65
524,Bilibino,18,RU,1595793098,39,68.05,166.44,75.43,10.07
525,Makakilo City,75,US,1595793190,69,21.35,-158.09,82.4,10.29
526,Mitsamiouli,98,KM,1595793465,76,-11.38,43.28,76.46,7.18
527,São Geraldo do Araguaia,0,BR,1595793466,25,-6.4,-48.55,94.14,5.95
528,Çorlu,0,TR,1595793466,64,41.16,27.8,68.0,3.36
529,Masunga,0,BW,1595793466,39,-20.62,27.45,50.0,4.7
530,Mbanza-Ngungu,0,CD,1595792924,45,-5.25,14.87,75.67,7.47
531,Ordzhonīkīdze,33,KZ,1595793466,86,52.44,61.74,60.4,7.36
532,Kushima,75,JP,1595793467,88,31.46,131.23,75.2,2.24
533,Grajaú,0,BR,1595793467,27,-5.82,-46.14,92.17,5.17
534,Koslan,3,RU,1595793467,58,63.46,48.9,60.85,2.28
535,Kalanguy,2,RU,1595793467,87,51.02,116.52,63.7,4.21
536,Lazo,82,RU,1595793467,85,43.38,133.9,62.83,2.37
537,Kununurra,21,AU,1595793468,34,-15.77,128.73,64.4,6.93
538,Rio Grande,100,BR,1595793281,58,-32.03,-52.1,59.0,8.05
539,Mount Gambier,75,AU,1595793068,100,-37.83,140.77,48.2,8.05
540,Am Timan,90,TD,1595793468,88,11.03,20.28,74.95,7.16
541,Paita,64,PE,1595793468,69,-5.09,-81.11,68.5,18.39
542,Rio Verde de Mato Grosso,29,BR,1595793469,20,-18.92,-54.84,89.17,6.15
543,Guéret,0,FR,1595793469,64,46.17,1.87,73.0,4.7
544,Dabat,91,ET,1595793208,100,12.98,37.77,53.47,2.26
545,Roald,75,NO,1595793274,87,62.58,6.13,61.0,8.05
546,Nuuk,20,GL,1595792922,55,64.18,-51.72,60.8,8.05
547,Khuzdar,3,PK,1595793471,52,27.74,66.64,82.58,4.74
548,Ferrol,0,ES,1595793471,77,43.48,-8.24,69.01,4.7
549,Kautokeino,20,NO,1595793471,86,69.01,23.04,55.18,8.63
550,Spring Valley,40,US,1595793471,9,36.11,-115.25,102.2,4.7
